,C,D,P,S,T
959,,,,,mothafucking
960,,,,,mothafuckings
961,,,,,mothafucks
962,,,,,mother fucker
963,,,,,motherfuck
964,,,,,motherfucked
965,,,,,motherfucker
966,,,,,motherfuckers
967,,,,,motherfuckin
968,,,,,motherfucking
969,,,,,motherfuckings
970,,,,,motherfuckka
971,,,,,motherfucks
972,,,,,motherlovebone
973,,,,,muff
974,,,,,muffdive
975,,,,,muffdiver
976,,,,,muffindiver
977,,,,,mufflikcer
978,,,,,mulatto
979,,,,,muncher
980,,,,,munt
981,,,,,murderer
982,,,,,mutha
983,,,,,muthafecker
984,,,,,muthafuckker
985,,,,,muther
986,,,,,mutherfucker
987,,,,,muzzie
988,,,,,n1gga
989,,,,,n1gger
990,,,,,naked
991,,,,,narcotic
992,,,,,nasty
993,,,,,nastybitch
994,,,,,nastyho
995,,,,,nastyslut
996,,,,,nastywhore
997,,,,,nazi
998,,,,,negro
999,,,,,negroes
1000,,,,,negroid
1001,,,,,negros
1002,,,,,nig
1003,,,,,niger
1004,,,,,nigerian
1005,,,,,nigerians
1006,,,,,nigg
1007,,,,,nigg3r
1008,,,,,nigg4h
1009,,,,,nigga
1010,,,,,nigga1
1011,,,,,niggah
1012,,,,,niggaracci
1013,,,,,niggard
1014,,,,,niggarded
1015,,,,,niggarding
1016,,,,,niggardliness
1017,,,,,niggardlinesss
1018,,,,,niggardly
1019,,,,,niggards
1020,,,,,niggas
1021,,,,,niggaz
1022,,,,,nigger
1023,,,,,niggerhead
1024,,,,,niggerhole
1025,,,,,niggers
1026,,,,,niggle
1027,,,,,niggled
1028,,,,,niggles
1029,,,,,niggling
1030,,,,,nigglings
1031,,,,,niggor
1032,,,,,niggur
1033,,,,,niglet
1034,,,,,nignog
1035,,,,,nigr
1036,,,,,nigra
1037,,,,,nigre
1038,,,,,nip
1039,,,,,nipple
1040,,,,,nipplering
1041,,,,,nittit
1042,,,,,nlgger
1043,,,,,nlggor
1044,,,,,nob
1045,,,,,nob jokey
1046,,,,,nobhead
1047,,,,,nobjocky
1048,,,,,nobjokey
1049,,,,,nofuckingway
1050,,,,,noob
1051,,,,,noobds
1052,,,,,noober
1053,,,,,noobest
1054,,,,,noobi
1055,,,,,noobies
1056,,,,,noobla
1057,,,,,noobs
1058,,,,,noobws
1059,,,,,nook
1060,,,,,nookey
1061,,,,,nookie
1062,,,,,noonan
1063,,,,,noone
1064,,,,,nooner
1065,,,,,nooobs
1066,,,,,nooooooooooooooooooooob
1067,,,,,nude
1068,,,,,nudger
1069,,,,,numbnuts
1070,,,,,nutfucker
1071,,,,,nutsack
1072,,,,,nymph
1073,,,,,ontherag
1074,,,,,orga
1075,,,,,orgasim
1076,,,,,orgasims
1077,,,,,orgasm
1078,,,,,orgasms
1079,,,,,orgies
1080,,,,,orgy
1081,,,,,osama
1082,,,,,p0rn
1083,,,,,paki
1084,,,,,palesimian
1085,,,,,palestinian
1086,,,,,pansies
1087,,,,,pansy
1088,,,,,panti
1089,,,,,panties
1090,,,,,payo
1091,,,,,pearlnecklace
1092,,,,,peck
1093,,,,,pecker
1094,,,,,peckerwood
1095,,,,,pee
1096,,,,,pee-pee
1097,,,,,peeeeeee
1098,,,,,peeeeeeeee
1099,,,,,peeeeeeeeeeeeeeeeeeeeee
1100,,,,,peehole
1101,,,,,peepshow
1102,,,,,peepshpw
1103,,,,,pendy
1104,,,,,penetration
1105,,,,,peni5
1106,,,,,penile
1107,,,,,penis
1108,,,,,penises
1109,,,,,penisfucker
1110,,,,,penthouse
1111,,,,,period
1112,,,,,peru
1113,,,,,peruanitod
1114,,,,,peruano
1115,,,,,peruanos
1116,,,,,peruasno
1117,,,,,perus
1118,,,,,peruvians
1119,,,,,perv
1120,,,,,phonesex
1121,,,,,phuck
1122,,,,,phuk
1123,,,,,phuked
1124,,,,,phuking
1125,,,,,phukked
1126,,,,,phukking
1127,,,,,phuks
1128,,,,,phungky
1129,,,,,phuq
1130,,,,,pi55
1131,,,,,picaninny
1132,,,,,piccaninny
1133,,,,,pickaninny
1134,,,,,pigfucker
1135,,,,,piker
1136,,,,,pikey
1137,,,,,piky
1138,,,,,pimp
1139,,,,,pimped
1140,,,,,pimper
1141,,,,,pimpis
1142,,,,,pimpjuic
1143,,,,,pimpjuice
1144,,,,,pimpsimp
1145,,,,,pindick
1146,,,,,piss
1147,,,,,pisser
1148,,,,,pissers
1149,,,,,pisses
1150,,,,,pissface
1151,,,,,pissflaps
1152,,,,,pisshead
1153,,,,,pissin
1154,,,,,pissing
1155,,,,,pissoff
1156,,,,,pissy
1157,,,,,pistol
1158,,,,,pixie
1159,,,,,pixy
1160,,,,,plastic paddy
1161,,,,,playgirl
1162,,,,,pocha
1163,,,,,pocho
1164,,,,,pocketpool
1165,,,,,pohm
1166,,,,,polack
1167,,,,,pommie
1168,,,,,pommy
1169,,,,,poo
1170,,,,,poon
1171,,,,,poontang
1172,,,,,poop
1173,,,,,pooper
1174,,,,,pooperscooper
1175,,,,,pooping
1176,,,,,poorwhitetrash
1177,,,,,pootang
1178,,,,,popimp
1179,,,,,porchmonkey
1180,,,,,porn
1181,,,,,pornflick
1182,,,,,pornking
1183,,,,,porno
1184,,,,,pornography
1185,,,,,pornos
1186,,,,,pornprincess
1187,,,,,premature
1188,,,,,pric
1189,,,,,prick
1190,,,,,prickhead
1191,,,,,pricks
1192,,,,,primetime
1193,,,,,pron
1194,,,,,propaganda
1195,,,,,prostit
1196,,,,,prostitute
1197,,,,,pu55i
1198,,,,,pu55y
1199,,,,,pube
1200,,,,,pubic
1201,,,,,pubiclice
1202,,,,,pud
1203,,,,,pudboy
1204,,,,,puddboy
1205,,,,,puke
1206,,,,,puntang
1207,,,,,purinapricness
1208,,,,,puss
1209,,,,,pusse
1210,,,,,pussi
1211,,,,,pussie
1212,,,,,pussies
1213,,,,,pussy
1214,,,,,pussycat
1215,,,,,pussyeater
1216,,,,,pussyfucker
1217,,,,,pussylicker
1218,,,,,pussylips
1219,,,,,pussylover
1220,,,,,pussypounder
1221,,,,,pussys
1222,,,,,pusy
1223,,,,,putang
1224,,,,,quashie
1225,,,,,queef
1226,,,,,quickie
1227,,,,,quim
1228,,,,,ra8s
1229,,,,,rabbi
1230,,,,,radical
1231,,,,,radicals
1232,,,,,raghead
1233,,,,,randy
1234,,,,,rape
1235,,,,,raped
1236,,,,,raper
1237,,,,,rapist
1238,,,,,rearend
1239,,,,,rearentry
1240,,,,,rectum
1241,,,,,redlight
1242,,,,,redneck
1243,,,,,reefer
1244,,,,,reestie
1245,,,,,refugee
1246,,,,,rentafuck
1247,,,,,rere
1248,,,,,retar
1249,,,,,retard
1250,,,,,retarded
1251,,,,,retardedw
1252,,,,,retards
1253,,,,,retardw
1254,,,,,ribbed
1255,,,,,rigger
1256,,,,,rimjaw
1257,,,,,rimjob
1258,,,,,rimming
1259,,,,,roach
1260,,,,,roflmao
1261,,,,,roundeye
1262,,,,,rube
1263,,,,,rump
1264,,,,,ruski
1265,,,,,russki
1266,,,,,russkie
1267,,,,,russtard
1268,,,,,rustards
1269,,,,,s hit
1270,,,,,s.o.b.
1271,,,,,s_h_i_t
1272,,,,,sadis
1273,,,,,sadist
1274,,,,,sadom
1275,,,,,samckdaddy
1276,,,,,sandm
1277,,,,,sandnigger
1278,,,,,scag
1279,,,,,scallywag
1280,,,,,scat
1281,,,,,schlong
1282,,,,,screw
1283,,,,,screwing
1284,,,,,screwyou
1285,,,,,scroat
1286,,,,,scrote
1287,,,,,scrotum
1288,,,,,scum
1289,,,,,semen
1290,,,,,seppo
1291,,,,,sex
1292,,,,,sexally
1293,,,,,sexed
1294,,,,,sexfarm
1295,,,,,sexhound
1296,,,,,sexhouse
1297,,,,,sexing
1298,,,,,sexkitten
1299,,,,,sexpot
1300,,,,,sexslave
1301,,,,,sextogo
1302,,,,,sextoy
1303,,,,,sextoys
1304,,,,,sexual
1305,,,,,sexually
1306,,,,,sexwhore
1307,,,,,sexy
1308,,,,,sexy-slim
1309,,,,,sexymoma
1310,,,,,sh!+
1311,,,,,sh!t
1312,,,,,sh1t
1313,,,,,shag
1314,,,,,shagger
1315,,,,,shaggin
1316,,,,,shagging
1317,,,,,shat
1318,,,,,shav
1319,,,,,shawtypimp
1320,,,,,sheeney
1321,,,,,shemale
1322,,,,,shhit
1323,,,,,shinola
1324,,,,,shit
1325,,,,,shitbag
1326,,,,,shitcan
1327,,,,,shitdick
1328,,,,,shite
1329,,,,,shiteater
1330,,,,,shited
1331,,,,,shitey
1332,,,,,shitface
1333,,,,,shitfaced
1334,,,,,shitfit
1335,,,,,shitforbrains
1336,,,,,shitfuck
1337,,,,,shitfucker
1338,,,,,shitfull
1339,,,,,shithapens
1340,,,,,shithappens
1341,,,,,shithead
1342,,,,,shithouse
1343,,,,,shiting
1344,,,,,shitings
1345,,,,,shitist
1346,,,,,shitlist
1347,,,,,shitlord
1348,,,,,shitola
1349,,,,,shitoutofluck
1350,,,,,shitpoo
1351,,,,,shits
1352,,,,,shitstaain
1353,,,,,shitstain
1354,,,,,shitted
1355,,,,,shitter
1356,,,,,shitters
1357,,,,,shitting
1358,,,,,shittings
1359,,,,,shitttt
1360,,,,,shitty
1361,,,,,shooting
1362,,,,,shortfuck
1363,,,,,showtime
1364,,,,,sideways pussy
1365,,,,,sissy
1366,,,,,sixtynine
1367,,,,,sixtyniner
1368,,,,,skank
1369,,,,,skankbitch
1370,,,,,skankfuck
1371,,,,,skankwhore
1372,,,,,skanky
1373,,,,,skankybitch
1374,,,,,skankywhore
1375,,,,,skinflute
1376,,,,,skum
1377,,,,,skumbag
1378,,,,,slant
1379,,,,,slanteye
1380,,,,,slapper
1381,,,,,slaughter
1382,,,,,slav
1383,,,,,slavedriver
1384,,,,,sleezebag
1385,,,,,sleezeball
1386,,,,,slideitin
1387,,,,,slime
1388,,,,,slimeball
1389,,,,,slimebucket
1390,,,,,slopehead
1391,,,,,slopey
1392,,,,,slopy
1393,,,,,slut
1394,,,,,sluts
1395,,,,,slutt
1396,,,,,slutting
1397,,,,,slutty
1398,,,,,slutwear
1399,,,,,slutwhore
1400,,,,,smack
1401,,,,,smackthemonkey
1402,,,,,smegma
1403,,,,,smut
1404,,,,,snatch
1405,,,,,snatchpatch
1406,,,,,snigger
1407,,,,,sniggered
1408,,,,,sniggering
1409,,,,,sniggers
1410,,,,,snot
1411,,,,,snowback
1412,,,,,snownigger
1413,,,,,sodom
1414,,,,,sodomise
1415,,,,,sodomite
1416,,,,,sodomize
1417,,,,,sodomy
1418,,,,,son-of-a-bitch
1419,,,,,sonofabitch
1420,,,,,sonofbitch
1421,,,,,sooty
1422,,,,,soup taker
1423,,,,,spac
1424,,,,,spaghettibender
1425,,,,,spaghettinigger
1426,,,,,spank
1427,,,,,spankthemonkey
1428,,,,,sperm
1429,,,,,spermacide
1430,,,,,spermbag
1431,,,,,spermhearder
1432,,,,,spermherder
1433,,,,,spic
1434,,,,,spick
1435,,,,,spig
1436,,,,,spigotty
1437,,,,,spik
1438,,,,,spit
1439,,,,,spitter
1440,,,,,splittail
1441,,,,,spooge
1442,,,,,spreadeagle
1443,,,,,spunk
1444,,,,,spunky
1445,,,,,squaw
1446,,,,,stagg
1447,,,,,stfu
1448,,,,,stiffy
1449,,,,,strapon
1450,,,,,stringer
1451,,,,,stripclub
1452,,,,,stupid
1453,,,,,stupidfuck
1454,,,,,stupidfucker
1455,,,,,stupids
1456,,,,,stupiud
1457,,,,,suck
1458,,,,,suckdick
1459,,,,,sucker
1460,,,,,suckme
1461,,,,,suckmyass
1462,,,,,suckmydick
1463,,,,,suckmytit
1464,,,,,suckoff
1465,,,,,sucks
1466,,,,,surrender monkey
1467,,,,,swallow
1468,,,,,swallower
1469,,,,,swalow
1470,,,,,swastika
1471,,,,,sweetness
1472,,,,,swooty
1473,,,,,syphilis
1474,,,,,t1tt1e5
1475,,,,,t1tties
1476,,,,,taff
1477,,,,,talkshits
1478,,,,,tampon
1479,,,,,tang
1480,,,,,tarbaby
1481,,,,,tard
1482,,,,,tards
1483,,,,,teat
1484,,,,,teets
1485,,,,,teez
1486,,,,,teste
1487,,,,,testical
1488,,,,,testicle
1489,,,,,testicles
1490,,,,,thicklips
1491,,,,,thirdeye
1492,,,,,thirdleg
1493,,,,,threesome
1494,,,,,threeway
1495,,,,,timbernigger
1496,,,,,tinkle
1497,,,,,tit
1498,,,,,titbitnipply
1499,,,,,titfuck
1500,,,,,titfucker
1501,,,,,titfuckin
1502,,,,,titjob
1503,,,,,titlicker
1504,,,,,titlover
1505,,,,,tits
1506,,,,,titt
1507,,,,,tittie
1508,,,,,tittie5
1509,,,,,tittiefucker
1510,,,,,titties
1511,,,,,titty
1512,,,,,tittyfuck
1513,,,,,tittywank
1514,,,,,titwank
1515,,,,,tongethruster
1516,,,,,tongue
1517,,,,,tonguethrust
1518,,,,,tonguetramp
1519,,,,,tortur
1520,,,,,torture
1521,,,,,tosser
1522,,,,,towelhead
1523,,,,,trailer park trash
1524,,,,,trailer trash
1525,,,,,trailertrash
1526,,,,,tramp
1527,,,,,trannie
1528,,,,,tranny
1529,,,,,transexual
1530,,,,,transsexual
1531,,,,,transvestite
1532,,,,,triplex
1533,,,,,trisexual
1534,,,,,trojan
1535,,,,,trots
1536,,,,,tuckahoe
1537,,,,,tunneloflove
1538,,,,,turd
1539,,,,,turnon
1540,,,,,tw4t
1541,,,,,twat
1542,,,,,twathead
1543,,,,,twatty
1544,,,,,twink
1545,,,,,twinkie
1546,,,,,twobitwhore
1547,,,,,twunt
1548,,,,,twunter
1549,,,,,uck
1550,,,,,unfuckable
1551,,,,,upskirt
1552,,,,,uptheass
1553,,,,,upthebutt
1554,,,,,urinary
1555,,,,,urinate
1556,,,,,urine
1557,,,,,usama
1558,,,,,uterus
1559,,,,,v14gra
1560,,,,,v1gra
1561,,,,,vagina
1562,,,,,vaginal
1563,,,,,viagra
1564,,,,,vibr
1565,,,,,vibrater
1566,,,,,vibrator
1567,,,,,vietcong
1568,,,,,virgin
1569,,,,,virginbreaker
1570,,,,,vomit
1571,,,,,vulva
1572,,,,,w00se
1573,,,,,wab
1574,,,,,wank
1575,,,,,wanker
1576,,,,,wanking
1577,,,,,wanky
1578,,,,,wasted
1579,,,,,waysted
1580,,,,,weenie
1581,,,,,weewee
1582,,,,,welcher
1583,,,,,wetb
1584,,,,,wetback
1585,,,,,wetspot
1586,,,,,whacker
1587,,,,,whash
1588,,,,,whigger
1589,,,,,whiskeydick
1590,,,,,whiskydick
1591,,,,,whit
1592,,,,,white nigger
1593,,,,,whitenigger
1594,,,,,whites
1595,,,,,whitetrash
1596,,,,,whitey
1597,,,,,whiz
1598,,,,,whoar
1599,,,,,whop
1600,,,,,whore
1601,,,,,whorefucker
1602,,,,,whorehouse
1603,,,,,wigerette
1604,,,,,wigger
1605,,,,,willie
1606,,,,,willies
1607,,,,,williewanker
1608,,,,,willy
1609,,,,,wn
1610,,,,,wog
1611,,,,,womens
1612,,,,,wop
1613,,,,,wtf
1614,,,,,wtff
1615,,,,,wtfff
1616,,,,,wtffff
1617,,,,,wuss
1618,,,,,wuzzie
1619,,,,,xrated
1620,,,,,xtc
1621,,,,,yankee
1622,,,,,yellowman
1623,,,,,yobbo
1624,,,,,zigabo
1625,,,,,zionazi
1626,,,,,zipperhead
